signature,p_value,significant
SBS96H,1.6003374913738797e-157,True
SBS96A,4.426864527126577e-104,True
SBS96M,2.3443145678439837e-98,True
SBS96C,1.664298865389645e-62,True
SBS96B,8.564422587160829e-61,True
SBS96E,7.93512992569686e-31,True
SBS96J,2.0215446034595182e-30,True
SBS96G,4.5576953687506964e-14,True
SBS96D,5.376684023376176e-14,True
SBS96K,1.2127690001960368e-10,True
SBS96F,1.6432164520832123e-05,True
SBS96O,0.0007746659522257157,True
SBS96N,0.009895524623664208,True
SBS96I,0.12924788972635443,False
SBS96L,0.38045669808058186,False
